Fecha,Hora,AE_kWh
25/01/2023,18,"2,316"
25/01/2023,19,"2,411"
25/01/2023,20,"2,722"
25/01/2023,21,"3,312"
25/01/2023,22,"3,279"
25/01/2023,23,"2,438"
25/01/2023,24,"1,192"
26/01/2023,1,"0,663"
26/01/2023,2,"1,803"
26/01/2023,3,"0,478"
26/01/2023,4,"1,975"
26/01/2023,5,"0,831"
26/01/2023,6,"2,642"
26/01/2023,7,"2,598"
26/01/2023,8,"2,569"
26/01/2023,9,"2,552"
26/01/2023,10,"2,756"
26/01/2023,11,"2,624"
26/01/2023,12,"1,279"
26/01/2023,13,"0,207"
26/01/2023,14,"1,143"
26/01/2023,15,"1,050"
26/01/2023,16,"2,421"
26/01/2023,17,"0,897"
26/01/2023,18,"1,622"
26/01/2023,19,"2,185"
26/01/2023,20,"1,729"
26/01/2023,21,"2,433"
26/01/2023,22,"1,736"
26/01/2023,23,"2,082"
26/01/2023,24,"0,286"
27/01/2023,1,"0,249"
27/01/2023,2,"1,576"
27/01/2023,3,"0,499"
27/01/2023,4,"1,594"
27/01/2023,5,"0,875"
27/01/2023,6,"2,591"
27/01/2023,7,"2,439"
27/01/2023,8,"2,405"
27/01/2023,9,"2,274"
27/01/2023,10,"2,195"
27/01/2023,11,"1,887"
27/01/2023,12,"2,207"
27/01/2023,13,"2,398"
27/01/2023,14,"1,964"
27/01/2023,15,"1,617"
27/01/2023,16,"2,872"
27/01/2023,17,"1,439"
27/01/2023,18,"2,552"
27/01/2023,19,"2,726"
27/01/2023,20,"2,348"
27/01/2023,21,"2,541"
27/01/2023,22,"3,259"
27/01/2023,23,"1,196"
27/01/2023,24,"1,697"
28/01/2023,1,"2,651"
28/01/2023,2,"0,569"
28/01/2023,3,"0,950"
28/01/2023,4,"1,645"
28/01/2023,5,"1,434"
28/01/2023,6,"2,668"
28/01/2023,7,"2,573"
28/01/2023,8,"3,219"
28/01/2023,9,"2,688"
28/01/2023,10,"2,372"
28/01/2023,11,"1,639"
28/01/2023,12,"0,835"
28/01/2023,13,"0,517"
28/01/2023,14,"1,007"
28/01/2023,15,"0,313"
28/01/2023,16,"0,133"
28/01/2023,17,"0,836"
28/01/2023,18,"2,645"
28/01/2023,19,"2,618"
28/01/2023,20,"2,726"
28/01/2023,21,"2,773"
28/01/2023,22,"3,358"
28/01/2023,23,"4,645"
28/01/2023,24,"2,488"
29/01/2023,1,"0,764"
29/01/2023,2,"0,926"
29/01/2023,3,"2,158"
29/01/2023,4,"1,573"
29/01/2023,5,"1,772"
29/01/2023,6,"2,726"
29/01/2023,7,"2,768"
29/01/2023,8,"2,644"
29/01/2023,9,"2,492"
29/01/2023,10,"2,310"
29/01/2023,11,"1,505"
29/01/2023,12,"1,002"
29/01/2023,13,"0,796"
29/01/2023,14,"2,810"
29/01/2023,15,"0,873"
29/01/2023,16,"0,253"
29/01/2023,17,"0,942"
29/01/2023,18,"0,767"
29/01/2023,19,"1,368"
29/01/2023,20,"0,931"
29/01/2023,21,"1,558"
29/01/2023,22,"2,604"
29/01/2023,23,"2,248"
29/01/2023,24,"0,349"
30/01/2023,1,"2,027"
30/01/2023,2,"0,824"
30/01/2023,3,"2,215"
30/01/2023,4,"0,861"
30/01/2023,5,"2,156"
30/01/2023,6,"2,592"
30/01/2023,7,"2,779"
30/01/2023,8,"2,637"
30/01/2023,9,"3,199"
30/01/2023,10,"2,470"
30/01/2023,11,"2,234"
30/01/2023,12,"0,237"
30/01/2023,13,"0,125"
30/01/2023,14,"0,845"
30/01/2023,15,"2,698"
30/01/2023,16,"2,378"
30/01/2023,17,"1,397"
30/01/2023,18,"2,235"
30/01/2023,19,"2,389"
30/01/2023,20,"1,860"
30/01/2023,21,"2,440"
30/01/2023,22,"1,628"
30/01/2023,23,"2,485"
30/01/2023,24,"0,357"
31/01/2023,1,"1,194"
31/01/2023,2,"1,158"
31/01/2023,3,"1,677"
31/01/2023,4,"0,942"
31/01/2023,5,"2,042"
31/01/2023,6,"2,576"
31/01/2023,7,"2,569"
31/01/2023,8,"2,515"
31/01/2023,9,"2,487"
31/01/2023,10,"2,531"
31/01/2023,11,"1,984"
31/01/2023,12,"0,332"
31/01/2023,13,"1,308"
31/01/2023,14,"0,170"
31/01/2023,15,"0,131"
31/01/2023,16,"2,260"
31/01/2023,17,"2,689"
31/01/2023,18,"0,953"
31/01/2023,19,"2,576"
31/01/2023,20,"1,966"
31/01/2023,21,"2,604"
31/01/2023,22,"2,672"
31/01/2023,23,"2,133"
31/01/2023,24,"0,909"
01/02/2023,1,"0,420"
01/02/2023,2,"1,655"
01/02/2023,3,"0,555"
01/02/2023,4,"1,704"
01/02/2023,5,"0,892"
01/02/2023,6,"2,543"
01/02/2023,7,"2,584"
01/02/2023,8,"2,471"
01/02/2023,9,"1,767"
01/02/2023,10,"0,076"
01/02/2023,11,"0,836"
01/02/2023,12,"0,123"
01/02/2023,13,"0,073"
01/02/2023,14,"0,241"
01/02/2023,15,"1,506"
01/02/2023,16,"2,482"
01/02/2023,17,"1,697"
01/02/2023,18,"1,671"
01/02/2023,19,"1,924"
01/02/2023,20,"2,446"
01/02/2023,21,"3,625"
01/02/2023,22,"0,699"
01/02/2023,23,"3,318"
01/02/2023,24,"1,449"
02/02/2023,1,"0,235"
02/02/2023,2,"0,779"
02/02/2023,3,"0,907"
02/02/2023,4,"0,887"
02/02/2023,5,"1,086"
02/02/2023,6,"2,592"
02/02/2023,7,"2,491"
02/02/2023,8,"2,416"
02/02/2023,9,"2,182"
02/02/2023,10,"1,933"
02/02/2023,11,"1,019"
02/02/2023,12,"0,261"
02/02/2023,13,"0,190"
02/02/2023,14,"0,133"
02/02/2023,15,"0,072"
02/02/2023,16,"0,091"
02/02/2023,17,"0,634"
02/02/2023,18,"0,470"
02/02/2023,19,"2,676"
02/02/2023,20,"1,924"
02/02/2023,21,"1,983"
02/02/2023,22,"1,135"
02/02/2023,23,"2,112"
02/02/2023,24,"0,099"
03/02/2023,1,"0,424"
03/02/2023,2,"0,816"
03/02/2023,3,"0,767"
03/02/2023,4,"1,087"
03/02/2023,5,"0,643"
03/02/2023,6,"2,588"
03/02/2023,7,"2,502"
03/02/2023,8,"2,253"
03/02/2023,9,"1,919"
03/02/2023,10,"0,803"
03/02/2023,11,"0,090"
03/02/2023,12,"0,086"
03/02/2023,13,"0,410"
03/02/2023,14,"1,706"
